name,category,price_usd,competitor_reviews,competitor_rating,demand_score,url,notes
Etekcity Food Kitchen Scale Digital 11lb,Kitchen,13.99,177140,4.6,10,https://www.amazon.com/dp/B0113UZJE2,#1 Best Seller Kitchen tools; 177K reviews; comissao 4.5%; margem em versao premium
Meat Thermometer Digital Instant Read,Kitchen,9.99,563,4.7,9,https://www.amazon.com/dp/B0H68MTJV6,New Release #1 Kitchen; crescimento rapido; comissao 4.5%; baixa concorrencia
GORILLA GRIP Stainless Steel Can Opener,Kitchen,8.49,6923,4.4,8,https://www.amazon.com/dp/B0GH9R927H,New Release trending; 6.9K reviews em pouco tempo; comissao 4.5%; rating baixo = oportunidade
HydroJug Traveler 40oz Insulated Tumbler,Kitchen,31.99,17528,4.6,9,https://www.amazon.com/dp/B0CQVWT2NH,Best Seller #3 Kitchen; mercado tumbler em alta; comissao 4.5%
Mighty Patch Hero Acne Pimple Patches 36 Ct,Beauty,12.99,185119,4.6,10,https://www.amazon.com/dp/B074PVTPBW,Best Seller #5 Beauty; 185K reviews; #1 acne patches; comissao 3%
medicube Toner Pads Zero Pore 2.0,Beauty,18.90,32073,4.6,9,https://www.amazon.com/dp/B09V7Z4TJG,Best Seller #2 Beauty; K-beauty trending; comissao 3%
TINKRSTUFF 50000Pcs Jelly Rhinestones Bedazzling Kit,Beauty,16.99,1844,4.7,8,https://www.amazon.com/dp/B0H8JTD972,New Release Beauty trending; 1.8K reviews rapido; comissao 3%; nicho craft
CosBed Cervical Neck Pillow Memory Foam,Home,33.98,178,4.8,8,https://www.amazon.com/dp/B0H5QB5868,New Release #1 Home; rating 4.8 com poucas reviews; comissao 3%; alto ticket
Zevo Flying Insect Trap Refill Cartridges 4 Count,Home,14.97,36791,4.8,9,https://www.amazon.com/dp/B0C3FTCYZL,Best Seller #5 Home; 36K reviews; consumivel com recompra; comissao 3%
Renoj Weighted Vest for Women Men 6-16lb,Sports,6.99,852,4.6,8,https://www.amazon.com/dp/B0H6M7FP4R,New Release Sports; preco agressivo; fitness trending; comissao 3%; facil private label
